URL,Institution,Conference,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,Saves,Shutouts,Combined Sho,G Wins,G Loss,DSaves,Corners,PK,PK Att,GWG
http://stats.ncaa.org/team/26172/16020,A&M-Corpus Christi,Southland,4,16,17,61,25,26,,1,,,,360:00:00,7,13,,,,,,28,1,1,3
http://stats.ncaa.org/team/2/16020,Abilene Christian,WAC,4,8,4,40,19,29,,,,,,360:00:00,6,24,2,,,,,16,1,1,2
http://stats.ncaa.org/team/721/16020,Air Force,Mountain West,4,2,1,36,15,38,,7,,,,360:00:00,7,12,1,,,,,11,,,1
http://stats.ncaa.org/team/5/16020,Akron,MAC,3,4,1,27,13,26,,2,,,,270:00:00,3,12,1,,,,,11,,,1
http://stats.ncaa.org/team/8/16020,Alabama,SEC,5,12,12,98,36,53,,5,,,,450:00:00,3,15,3,,,,,31,1,1,4
http://stats.ncaa.org/team/6/16020,Alabama A&M,SWAC,5,2,1,48,19,43,,9,,,,450:00:00,6,28,2,,,,,20,,1,2
http://stats.ncaa.org/team/7/16020,Alabama St.,SWAC,3,1,1,24,11,21,,3,,,,270:00:00,4,18,1,,,,,4,,,
http://stats.ncaa.org/team/17/16020,Alcorn,SWAC,3,3,3,24,16,34,,7,,,,270:00:00,11,25,,,,,,3,,,
http://stats.ncaa.org/team/23/16020,American,Patriot,4,2,2,30,12,36,,6,,,,354:02:00,4,15,2,,,,,13,,,1
http://stats.ncaa.org/team/27/16020,App State,Sun Belt,4,2,1,40,20,50,,7,,,,360:00:00,1,13,3,,,,,16,,,1
http://stats.ncaa.org/team/29/16020,Arizona,Pac-12,4,4,3,39,17,49,,6,,,,360:00:00,3,12,1,,,,,24,,,2
http://stats.ncaa.org/team/28/16020,Arizona St.,Pac-12,3,4,5,34,14,27,,4,,,,270:00:00,3,15,,,,,,13,,,1
http://stats.ncaa.org/team/2678/16020,Ark.-Pine Bluff,SWAC,5,7,6,100,43,32,,4,,,,450:00:00,10,24,3,2,,,,32,,,3
http://stats.ncaa.org/team/31/16020,Arkansas,SEC,4,13,8,81,43,38,,5,,,,341:18:00,3,15,1,,,,,39,1,1,3
http://stats.ncaa.org/team/30/16020,Arkansas St.,Sun Belt,4,5,7,57,28,32,,6,,,,360:00:00,6,22,1,1,,,,19,,,1
http://stats.ncaa.org/team/725/16020,Army West Point,Patriot,5,6,2,59,20,45,,2,,,,450:00:00,7,26,1,,,,,29,1,2,1
http://stats.ncaa.org/team/37/16020,Auburn,SEC,5,11,13,66,31,38,,2,,,,450:00:00,1,17,4,,,,,21,1,2,2
http://stats.ncaa.org/team/43/16020,Austin Peay,ASUN,5,3,4,50,20,50,,2,,,,450:00:00,4,22,3,,,,,10,,,1
http://stats.ncaa.org/team/77/16020,BYU,WCC,4,7,6,121,40,40,,3,,,,360:00:00,5,8,2,,,,,27,,1,2
http://stats.ncaa.org/team/47/16020,Ball St.,MAC,5,2,,51,20,34,,4,,,,450:00:00,8,19,2,1,,,,23,1,1,
http://stats.ncaa.org/team/51/16020,Baylor,Big 12,5,6,6,56,32,44,,3,,,,450:00:00,10,31,1,1,,,,23,,,2
http://stats.ncaa.org/team/52/16020,Bellarmine,ASUN,4,2,2,30,14,21,,1,,,,360:00:00,3,8,2,1,,,,8,,,
http://stats.ncaa.org/team/14927/16020,Belmont,MVC,3,4,4,38,20,24,,1,,,,270:00:00,3,14,1,1,,,,17,,,1
http://stats.ncaa.org/team/62/16020,Binghamton,America East,5,4,2,59,27,40,,3,,,,450:00:00,9,41,1,1,,,,14,,,1
http://stats.ncaa.org/team/66/16020,Boise St.,Mountain West,4,6,4,38,23,45,,6,,,,360:00:00,6,15,,,,,,12,1,1,1
http://stats.ncaa.org/team/67/16020,Boston College,ACC,5,11,10,81,36,65,1,7,,,,450:00:00,4,16,2,,,,,34,2,2,3
http://stats.ncaa.org/team/68/16020,Boston U.,Patriot,5,6,5,54,24,40,,3,,,,450:00:00,10,12,,,,,,34,,,2
http://stats.ncaa.org/team/71/16020,Bowling Green,MAC,3,1,1,29,11,32,,5,,,,270:00:00,7,14,,,,,,13,,,
http://stats.ncaa.org/team/80/16020,Brown,Ivy League,3,6,5,47,23,38,,3,,,,270:00:00,1,6,2,,,,,25,,,3
http://stats.ncaa.org/team/81/16020,Bryant,America East,5,4,3,58,34,37,,1,,,,450:00:00,13,24,1,1,,,,31,,,1
http://stats.ncaa.org/team/83/16020,Bucknell,Patriot,4,8,6,75,37,42,,4,,,,360:00:00,3,22,2,1,,,,26,,,3
http://stats.ncaa.org/team/86/16020,Buffalo,MAC,4,10,15,57,31,22,,1,,,,360:00:00,4,12,1,,,,,17,,,3
http://stats.ncaa.org/team/87/16020,Butler,Big East,4,13,14,68,32,39,,3,,,,360:00:00,1,14,3,1,,,,20,1,1,3
http://stats.ncaa.org/team/94/16020,CSU Bakersfield,Big West,4,5,3,43,18,43,,5,,,,360:00:00,10,17,,,,,,12,,,1
http://stats.ncaa.org/team/101/16020,CSUN,Big West,5,3,2,35,16,56,,5,,,,450:00:00,19,43,,,,,,12,,,1
http://stats.ncaa.org/team/90/16020,Cal Poly,Big West,4,3,3,36,15,32,,1,,,,360:00:00,4,16,2,,,,,16,,,2
http://stats.ncaa.org/team/97/16020,Cal St. Fullerton,Big West,5,5,9,50,22,41,,4,,,,450:00:00,4,27,2,,,,,29,,,2
http://stats.ncaa.org/team/107/16020,California,Pac-12,4,5,2,57,27,25,,2,,,,360:00:00,3,4,1,,,,,32,1,1,2
http://stats.ncaa.org/team/30135/16020,California Baptist,WAC,3,8,9,58,24,26,,4,,,,270:00:00,3,12,1,1,,,,12,,1,2
http://stats.ncaa.org/team/115/16020,Campbell,Big South,5,5,7,47,25,32,,3,,,,450:00:00,10,16,1,,,,,19,,,1
http://stats.ncaa.org/team/116/16020,Canisius,MAAC,4,4,4,39,20,34,,5,,,,360:00:00,5,21,,,,,,8,1,1,1
http://stats.ncaa.org/team/1004/16020,Central Ark.,ASUN,5,3,3,43,16,24,,3,,,,450:00:00,6,38,1,1,,,,15,,,1
http://stats.ncaa.org/team/127/16020,Central Conn. St.,NEC,5,4,4,41,19,45,,2,,,,450:00:00,6,29,2,,,,,13,1,1,2
http://stats.ncaa.org/team/129/16020,Central Mich.,MAC,5,5,5,34,16,43,,3,,,,450:00:00,15,25,,,,,,25,,,1
http://stats.ncaa.org/team/48/16020,Charleston So.,Big South,4,18,15,78,45,22,,3,,,,360:00:00,5,18,2,,,,,22,,,2
http://stats.ncaa.org/team/458/16020,Charlotte,C-USA,4,2,2,21,12,27,,2,,,,360:00:00,8,26,,,,,,8,,,
http://stats.ncaa.org/team/693/16020,Chattanooga,SoCon,5,6,4,58,33,53,,3,,,,450:00:00,5,13,1,,,,,18,,,1
http://stats.ncaa.org/team/136/16020,Chicago St.,DI Independent,4,2,1,23,15,37,,5,,,,360:00:00,12,13,,,,,,3,,,
http://stats.ncaa.org/team/140/16020,Cincinnati,AAC,5,10,6,68,28,60,,3,,,,450:00:00,2,10,3,,,,,22,,,3
http://stats.ncaa.org/team/147/16020,Clemson,ACC,5,13,11,95,50,38,,5,,,,450:00:00,6,17,2,,,,,33,,,2
http://stats.ncaa.org/team/148/16020,Cleveland St.,Horizon,5,10,6,57,34,45,,7,,,,450:00:00,8,22,2,1,,,,19,,,2
http://stats.ncaa.org/team/149/16020,Coastal Carolina,Sun Belt,4,5,5,50,20,28,,3,,,,360:00:00,10,18,,,,,,27,,,
http://stats.ncaa.org/team/1014/16020,Col. of Charleston,CAA,4,7,6,69,28,34,,6,,,,360:00:00,8,17,2,2,,,,11,,,2
http://stats.ncaa.org/team/153/16020,Colgate,Patriot,4,4,3,36,21,36,,3,,,,360:00:00,8,13,,,,,,15,,,
http://stats.ncaa.org/team/157/16020,Colorado,Pac-12,5,21,19,103,49,48,,2,,,,450:00:00,3,18,3,2,,,,31,2,2,4
http://stats.ncaa.org/team/154/16020,Colorado Col.,Mountain West,5,8,8,67,33,39,,2,,,,450:00:00,7,21,,,,,,24,,,3
http://stats.ncaa.org/team/156/16020,Colorado St.,Mountain West,3,5,4,27,16,25,,1,,,,270:00:00,5,9,,,,,,7,,,2
http://stats.ncaa.org/team/158/16020,Columbia,Ivy League,2,5,7,27,12,18,,2,,,,180:00:00,4,7,,,,,,8,,,1
http://stats.ncaa.org/team/167/16020,Cornell,Ivy League,3,4,2,44,23,31,,4,,,,270:00:00,7,6,,,,,,6,1,1,
